Size,MAPE,% in 10%,Coverage,MAPE_train,% in 10%_train
510,0.1266182064351325,0.9019526273367827,0.9875770260783652,0.013143917260673914,0.9792156862745097
524,0.12781389781588728,0.853836353708952,0.987795429136008,0.011419819467929661,0.9816793893129769
537,0.11134526215047309,0.9024778346896856,0.987795429136008,0.01490254868876029,0.9769087523277467
551,0.11700084184143363,0.907443904214659,0.9880034320480486,0.013024815173949156,0.9800362976406534
565,0.10854319146955319,0.9264085697199761,0.9880034320480486,0.014087731350298652,0.9794690265486725
579,0.10109163304874431,0.9185928603000442,0.9882270351784925,0.013075534350642029,0.9792746113989637
594,0.1160537421181781,0.8546215647019059,0.9882270351784925,0.012946486104340682,0.9767676767676768
609,0.10675791195747726,0.9314526403369647,0.9882270351784925,0.013640819782773508,0.9773399014778326
625,0.10463144997836146,0.9227737188320637,0.9882270351784925,0.011666086318109368,0.98048
641,0.11143795167030542,0.886862016068225,0.9882270351784925,0.013406109977485162,0.9772230889235569
657,0.12958919596219123,0.8627596786355008,0.9882270351784925,0.013103622433366685,0.980517503805175
674,0.10654153914155776,0.9062478874704245,0.9885390395465536,0.015864712886717158,0.9792284866468842
691,0.1100662878391437,0.8850835911702764,0.9885390395465536,0.017208573371932653,0.9794500723589001
709,0.10077699674754914,0.9399027586386209,0.9885390395465536,0.01641233314300867,0.9782792665726376
727,0.09840374619382068,0.9008190114661605,0.9885390395465536,0.0168362814739069,0.9768913342503438
746,0.09344269207444474,0.8957021398299577,0.9885390395465536,0.015816263541783854,0.9739946380697051
765,0.09556018867844554,0.900657809209329,0.9885390395465536,0.01491003608779629,0.9790849673202613
785,0.09536394713409035,0.8941577182080549,0.9885390395465536,0.016946018724201966,0.975796178343949
805,0.0977489031678848,0.9246041444580223,0.9885390395465536,0.01276757609961535,0.9768944099378881
825,0.10228380159147414,0.8956709393931513,0.9885390395465536,0.016159622663132374,0.9764848484848485
846,0.0944716894133388,0.9030082421153895,0.9885390395465536,0.01534373766648014,0.9799054373522459
868,0.08934312845974604,0.9336626712773979,0.9886742414393801,0.020857140133269232,0.9771889400921658
890,0.0874539437436987,0.915836821715504,0.9886742414393801,0.01743426098536206,0.9728089887640449
913,0.08649872760035605,0.8902264631704844,0.9886742414393801,0.015611106630787778,0.976341730558598
936,0.07800113587866098,0.9337146720054081,0.9886742414393801,0.01714740232401673,0.9739316239316238
960,0.07590105119428517,0.9113023582330152,0.9886742414393801,0.019058214561733226,0.9766666666666666
985,0.07616898340918639,0.9275889862458074,0.9886742414393801,0.017408735490660122,0.9758375634517767
1010,0.0785148653847878,0.9240269363771093,0.9886742414393801,0.015677943066885712,0.9772277227722771
1036,0.08387485949248927,0.9296846155846182,0.9886742414393801,0.020014234230068862,0.9712355212355213
1063,0.0789807636943013,0.9397363563089882,0.9886742414393801,0.018784174618194004,0.973659454374412
1090,0.08310685321696143,0.9389927458984426,0.9886742414393801,0.018468652420010258,0.9737614678899084
1118,0.07734128916136132,0.9384467382543354,0.9886742414393801,0.0171403323589507,0.9719141323792486
1146,0.08991416697673778,0.9378747302462234,0.9886742414393801,0.01731072402464113,0.9727748691099476
1176,0.09154364414516072,0.9284989989859858,0.9886742414393801,0.016766972708433036,0.9751700680272108
1206,0.09423027029129837,0.9305530277423884,0.9886742414393801,0.018136872064767523,0.973134328358209
1237,0.08509727858496985,0.944203218845064,0.9886742414393801,0.018469091845418683,0.973322554567502
1268,0.0815974611729853,0.946668053352747,0.9887002418033852,0.01749019153473046,0.9725552050473185
1301,0.07977977250674308,0.9363199084787187,0.9887002418033852,0.019670394437926137,0.9727901614142966
1334,0.07168998724653716,0.9327474584644186,0.9887002418033852,0.01858796624675941,0.9719640179910044
1368,0.0773149631787064,0.9432048048672682,0.9887002418033852,0.020148165553231977,0.9719298245614036
1403,0.07155812318118036,0.9445984243779414,0.9887002418033852,0.01752688053498484,0.9729151817533855
1439,0.0741623480929696,0.9143548009672136,0.9887002418033852,0.01735465756641872,0.9749826268241835
1476,0.07701088977840131,0.9429136007904111,0.9887002418033852,0.01798731261112104,0.9737127371273713
1514,0.07292313045438055,0.9368867164140298,0.9899274589844257,0.018516330043195927,0.9717305151915456
1552,0.09493562306502104,0.9267985751800525,0.9899274589844257,0.020630796143657558,0.9702319587628866
1592,0.0745748987921297,0.9449312290372065,0.9899274589844257,0.020991735377222032,0.971356783919598
1633,0.07206602106820806,0.9470944593224304,0.9899274589844257,0.01930091749221486,0.9703612982241274
1675,0.07164181569007126,0.9470424585944203,0.9899274589844257,0.01846758003394617,0.9719402985074627
1717,0.08343528951955796,0.9414835807701308,0.9899274589844257,0.020644219603185254,0.9716948165404776
1761,0.062049949852771694,0.9449676295468137,0.9899274589844257,0.01795317936141001,0.9705848949460535
1806,0.06175604217264088,0.9555445776240867,0.9899274589844257,0.02043587505539588,0.973311184939092
1853,0.06162133029624902,0.9473492628896805,0.9899274589844257,0.019731027212330297,0.9693470048569888
1900,0.061796637433694346,0.9277345882842359,0.9899274589844257,0.024035849740633785,0.9709473684210528
1949,0.06737748868043728,0.9464236499310991,0.9899274589844257,0.021749999361552114,0.9705489994869163
1999,0.05970914730134821,0.9423311926366968,0.9899274589844257,0.021178118866827873,0.9712856428214106
2050,0.06359093933582413,0.9431528041392581,0.9899274589844257,0.024549608137310792,0.9707317073170731
2102,0.0659658627399795,0.9487220821091495,0.9899274589844257,0.02812977480462282,0.9692673644148432
2156,0.05371736847966933,0.9576818075453056,0.9899274589844257,0.023569186389699855,0.9713358070500927
2211,0.06445427623006232,0.9371727204180859,0.9899274589844257,0.021524544364206942,0.9717774762550881
2268,0.06348785810611819,0.9569017966251527,0.9899274589844257,0.026086637070994057,0.9714285714285715
2326,0.06529824119821578,0.9406359689035646,0.9899274589844257,0.027327915370360712,0.9693035253654342
2385,0.05923361481295235,0.9482124749746497,0.9899274589844257,0.026133397461841717,0.9674633123689726
2446,0.058062624879375704,0.9506513091183276,0.9899274589844257,0.026947800680337697,0.967130008176615
2509,0.05807813710970415,0.9478900704609863,0.9899274589844257,0.02515413021119146,0.9687524910322838
2573,0.0586384354686478,0.9555705779880919,0.9899274589844257,0.026950299537852586,0.9679751263116984
2639,0.05957921092468403,0.9541769584774187,0.9899274589844257,0.030098980795180696,0.9677908298597954
2707,0.060908378794985306,0.9504797067158941,0.9899274589844257,0.027179609475379007,0.9668267454746952
